"Feature ID"	Log_Ratio_Classification
22820	Denominator
21076	Denominator
2732	Denominator
23467	Denominator
10300	Denominator
9880	Denominator
7425	Denominator
2736	Denominator
4319	Denominator
5907	Denominator
5628	Denominator
28969	Denominator
29212	Denominator
29005	Denominator
19560	Denominator
29206	Denominator
31438	Denominator
29944	Denominator
24640	Denominator
30574	Denominator
19406	Denominator
31337	Denominator
13318	Denominator
1931	Denominator
7868	Denominator
27216	Denominator
21429	Denominator
29232	Denominator
5352	Denominator
13236	Denominator
2123	Denominator
6430	Denominator
10316	Denominator
16075	Denominator
19251	Denominator
27938	Denominator
6226	Denominator
28967	Denominator
29853	Denominator
16934	Denominator
14094	Denominator
2747	Denominator
14831	Denominator
24031	Denominator
30771	Denominator
28396	Denominator
2357	Denominator
18544	Denominator
3878	Denominator
20487	Denominator
20859	Denominator
7237	Denominator
27003	Denominator
27877	Denominator
7469	Denominator
6786	Denominator
16189	Denominator
32752	Denominator
2166	Denominator
7406	Denominator
11293	Denominator
2006	Denominator
29708	Denominator
6359	Denominator
17770	Denominator
29099	Denominator
27975	Denominator
22440	Denominator
22681	Denominator
2131	Denominator
2170	Denominator
29156	Denominator
3826	Denominator
2673	Denominator
29290	Denominator
29480	Denominator
25657	Denominator
32677	Denominator
9066	Denominator
23128	Denominator
21110	Denominator
20082	Denominator
4496	Denominator
21589	Denominator
3679	Denominator
31795	Denominator
3789	Denominator
5778	Denominator
4184	Denominator
15175	Denominator
3414	Denominator
16440	Denominator
33701	Denominator
2414	Denominator
19500	Denominator
31188	Denominator
29825	Denominator
19858	Denominator
31104	Denominator
26971	Denominator
25736	Denominator
30197	Denominator
25894	Denominator
25884	Denominator
8305	Denominator
5334	Denominator
33113	Denominator
27814	Denominator
15816	Denominator
14288	Denominator
7701	Denominator
6688	Denominator
6169	Denominator
14355	Denominator
24033	Denominator
21231	Denominator
32336	Denominator
29965	Denominator
26450	Denominator
25450	Denominator
10997	Denominator
6657	Denominator
33598	Denominator
18880	Denominator
2085	Denominator
24419	Denominator
14558	Denominator
1224	Denominator
29509	Denominator
24784	Denominator
13499	Denominator
7403	Denominator
31003	Denominator
29860	Denominator
10994	Denominator
8458	Denominator
24775	Denominator
3275	Denominator
24405	Denominator
25248	Denominator
33024	Denominator
22953	Denominator
26381	Denominator
5958	Denominator
8612	Denominator
27391	Denominator
1266	Denominator
16877	Denominator
924	Denominator
25078	Denominator
10325	Denominator
29291	Denominator
6834	Denominator
3384	Denominator
4432	Denominator
14374	Denominator
10117	Denominator
24488	Denominator
32086	Denominator
1169	Denominator
12439	Denominator
10786	Denominator
16889	Denominator
10972	Denominator
8182	Denominator
18618	Denominator
19885	Denominator
2691	Denominator
23163	Denominator
4507	Denominator
26980	Denominator
18251	Denominator
4128	Denominator
22305	Denominator
8604	Denominator
25144	Denominator
1458	Denominator
10303	Denominator
2229	Denominator
28598	Denominator
8281	Denominator
14289	Denominator
10914	Denominator
26547	Denominator
6737	Denominator
22721	Denominator
29381	Denominator
5648	Denominator
30850	Denominator
1914	Denominator
6890	Denominator
15181	Denominator
15981	Denominator
14783	Denominator
2298	Denominator
5339	Denominator
13962	Denominator
2746	Denominator
25089	Denominator
20040	Denominator
13477	Denominator
10440	Denominator
14027	Denominator
10009	Denominator
20112	Denominator
6607	Denominator
2204	Denominator
10941	Denominator
24284	Denominator
28487	Denominator
2187	Denominator
5924	Denominator
31842	Denominator
14093	Denominator
26555	Denominator
25590	Denominator
8513	Denominator
27377	Denominator
26959	Denominator
2966	Denominator
29059	Denominator
20641	Denominator
27897	Denominator
6618	Denominator
15552	Denominator
28280	Denominator
16242	Denominator
5167	Denominator
2416	Denominator
13870	Denominator
20149	Denominator
10866	Denominator
26434	Denominator
3169	Denominator
33065	Denominator
1038	Denominator
30841	Denominator
982	Denominator
7431	Denominator
16145	Denominator
10840	Denominator
31981	Denominator
8020	Denominator
17823	Denominator
9643	Denominator
26079	Denominator
8639	Denominator
20650	Denominator
22818	Denominator
3064	Denominator
8543	Denominator
4462	Denominator
8750	Denominator
7845	Denominator
13786	Denominator
31643	Denominator
5938	Denominator
30612	Denominator
33164	Denominator
25522	Denominator
17003	Denominator
6065	Denominator
3942	Denominator
33050	Denominator
22275	Denominator
6386	Denominator
28643	Denominator
2163	Denominator
4529	Denominator
13566	Denominator
5218	Denominator
30255	Denominator
3833	Denominator
9025	Denominator
14675	Denominator
3168	Denominator
10445	Denominator
33306	Denominator
27389	Denominator
2072	Denominator
12109	Denominator
33644	Denominator
32614	Denominator
2319	Denominator
2481	Denominator
29940	Denominator
29491	Denominator
17584	Denominator
10258	Denominator
30629	Denominator
2720	Denominator
12731	Denominator
24034	Denominator
12189	Denominator
23896	Denominator
1539	Denominator
2829	Denominator
3969	Denominator
24259	Denominator
2391	Denominator
22941	Denominator
4438	Denominator
30254	Denominator
26453	Denominator
30790	Denominator
27616	Denominator
5873	Denominator
25892	Denominator
25874	Denominator
32022	Denominator
30055	Denominator
25401	Denominator
19750	Denominator
31710	Denominator
14651	Denominator
27502	Denominator
8541	Denominator
31508	Denominator
5931	Denominator
10655	Denominator
20698	Denominator
6971	Denominator
22341	Denominator
7676	Denominator
32606	Denominator
8471	Denominator
10469	Denominator
17740	Denominator
10263	Denominator
2024	Denominator
9653	Denominator
12465	Denominator
13711	Denominator
22238	Denominator
30930	Denominator
7490	Denominator
17429	Denominator
18018	Denominator
26036	Denominator
28541	Denominator
32791	Denominator
24823	Denominator
21694	Denominator
9946	Denominator
21431	Denominator
4693	Denominator
33265	Denominator
16871	Denominator
29042	Denominator
2020	Denominator
12570	Denominator
29780	Denominator
20448	Denominator
30054	Denominator
10834	Denominator
19653	Denominator
25808	Denominator
30825	Denominator
19890	Denominator
6332	Denominator
22811	Denominator
29317	Denominator
12079	Denominator
21992	Denominator
30688	Denominator
6726	Denominator
11704	Denominator
10546	Denominator
2362	Denominator
12672	Denominator
31929	Denominator
17710	Denominator
11706	Denominator
12409	Denominator
27404	Denominator
14592	Denominator
7538	Denominator
9374	Denominator
28573	Denominator
2058	Denominator
9812	Denominator
21853	Denominator
14390	Denominator
25530	Denominator
9730	Denominator
7285	Denominator
14234	Denominator
23757	Denominator
4117	Denominator
21368	Denominator
19005	Denominator
3543	Denominator
7685	Denominator
4345	Denominator
29329	Denominator
5760	Denominator
8029	Denominator
25598	Denominator
20506	Denominator
4925	Denominator
27436	Denominator
16434	Denominator
5766	Denominator
23546	Denominator
14162	Denominator
23347	Denominator
14679	Denominator
22079	Denominator
24262	Denominator
7415	Denominator
20942	Numerator
25965	Numerator
1615	Numerator
18324	Numerator
33463	Numerator
26009	Numerator
17266	Numerator
20373	Numerator
25631	Numerator
23883	Numerator
2616	Numerator
22027	Numerator
28971	Numerator
29889	Numerator
23130	Numerator
12690	Numerator
16164	Numerator
27741	Numerator
16910	Numerator
35432	Numerator
20450	Numerator
23863	Numerator
29150	Numerator
32528	Numerator
27960	Numerator
13867	Numerator
18323	Numerator
33568	Numerator
27740	Numerator
7607	Numerator
33537	Numerator
23795	Numerator
27547	Numerator
11431	Numerator
33089	Numerator
27330	Numerator
28509	Numerator
1017	Numerator
25676	Numerator
35479	Numerator
24681	Numerator
12455	Numerator
27706	Numerator
10279	Numerator
23772	Numerator
22371	Numerator
26968	Numerator
23818	Numerator
27448	Numerator
10594	Numerator
20397	Numerator
17206	Numerator
26741	Numerator
804	Numerator
19116	Numerator
19743	Numerator
20459	Numerator
37283	Numerator
5862	Numerator
6705	Numerator
32517	Numerator
30021	Numerator
14705	Numerator
5149	Numerator
24660	Numerator
23548	Numerator
12816	Numerator
12241	Numerator
28703	Numerator
11463	Numerator
2243	Numerator
1319	Numerator
21270	Numerator
23862	Numerator
24332	Numerator
19036	Numerator
3690	Numerator
10176	Numerator
31788	Numerator
20632	Numerator
28442	Numerator
27834	Numerator
25226	Numerator
9478	Numerator
27732	Numerator
18775	Numerator
19077	Numerator
5264	Numerator
25682	Numerator
16560	Numerator
18101	Numerator
21788	Numerator
13880	Numerator
22751	Numerator
23620	Numerator
23666	Numerator
4472	Numerator
34575	Numerator
14797	Numerator
17357	Numerator
26533	Numerator
15397	Numerator
2475	Numerator
17850	Numerator
33535	Numerator
21280	Numerator
16223	Numerator
733	Numerator
31252	Numerator
27714	Numerator
19684	Numerator
27751	Numerator
3527	Numerator
9441	Numerator
24535	Numerator
26997	Numerator
18494	Numerator
23624	Numerator
32766	Numerator
26810	Numerator
28854	Numerator
27739	Numerator
26957	Numerator
28696	Numerator
5532	Numerator
17689	Numerator
26953	Numerator
29078	Numerator
30661	Numerator
32727	Numerator
30131	Numerator
30627	Numerator
20019	Numerator
24751	Numerator
23800	Numerator
33223	Numerator
29368	Numerator
24091	Numerator
19085	Numerator
26838	Numerator
27718	Numerator
18243	Numerator
10001	Numerator
23707	Numerator
18996	Numerator
27702	Numerator
21878	Numerator
15920	Numerator
22466	Numerator
31277	Numerator
26617	Numerator
23643	Numerator
11913	Numerator
32346	Numerator
33465	Numerator
27704	Numerator
23798	Numerator
27750	Numerator
11901	Numerator
19968	Numerator
34470	Numerator
25640	Numerator
22120	Numerator
28675	Numerator
1377	Numerator
30862	Numerator
35883	Numerator
34913	Numerator
8600	Numerator
29833	Numerator
19341	Numerator
32792	Numerator
31175	Numerator
6336	Numerator
19867	Numerator
28142	Numerator
17361	Numerator
6290	Numerator
21716	Numerator
15571	Numerator
28727	Numerator
28796	Numerator
31335	Numerator
782	Numerator
18510	Numerator
27160	Numerator
14215	Numerator
32843	Numerator
1680	Numerator
27070	Numerator
11588	Numerator
27495	Numerator
31556	Numerator
11339	Numerator
23489	Numerator
28702	Numerator
28679	Numerator
29564	Numerator
35084	Numerator
33448	Numerator
23810	Numerator
25690	Numerator
26746	Numerator
29878	Numerator
29346	Numerator
26761	Numerator
25888	Numerator
27512	Numerator
20341	Numerator
33685	Numerator
34508	Numerator
15648	Numerator
1611	Numerator
1592	Numerator
25642	Numerator
28708	Numerator
24301	Numerator
28341	Numerator
29935	Numerator
23679	Numerator
23336	Numerator
32849	Numerator
35832	Numerator
15178	Numerator
14486	Numerator
23469	Numerator
27326	Numerator
6348	Numerator
20772	Numerator
17349	Numerator
24831	Numerator
22395	Numerator
31476	Numerator
33490	Numerator
26650	Numerator
20246	Numerator
17889	Numerator
34285	Numerator
31224	Numerator
32138	Numerator
14653	Numerator
29501	Numerator
32952	Numerator
24056	Numerator
28829	Numerator
31422	Numerator
18415	Numerator
19391	Numerator
26916	Numerator
36822	Numerator
23875	Numerator
23885	Numerator
24154	Numerator
18736	Numerator
26511	Numerator
18799	Numerator
25134	Numerator
27662	Numerator
28843	Numerator
30361	Numerator
3188	Numerator
21507	Numerator
29532	Numerator
21621	Numerator
32098	Numerator
27735	Numerator
25686	Numerator
33695	Numerator
23114	Numerator
34304	Numerator
27696	Numerator
25270	Numerator
32836	Numerator
13562	Numerator
14524	Numerator
1029	Numerator
25949	Numerator
31180	Numerator
28732	Numerator
9301	Numerator
23649	Numerator
25387	Numerator
23382	Numerator
3303	Numerator
12164	Numerator
27694	Numerator
26665	Numerator
20528	Numerator
6511	Numerator
31998	Numerator
25730	Numerator
22077	Numerator
26709	Numerator
26011	Numerator
25838	Numerator
22616	Numerator
15357	Numerator
22590	Numerator
36156	Numerator
13886	Numerator
32442	Numerator
19913	Numerator
3305	Numerator
17443	Numerator
27604	Numerator
31776	Numerator
28694	Numerator
34463	Numerator
15787	Numerator
23657	Numerator
25740	Numerator
26552	Numerator
33137	Numerator
18555	Numerator
23922	Numerator
28676	Numerator
27697	Numerator
22314	Numerator
28680	Numerator
3395	Numerator
20892	Numerator
27009	Numerator
19655	Numerator
33293	Numerator
23992	Numerator
24716	Numerator
3967	Numerator
13579	Numerator
15311	Numerator
19882	Numerator
20406	Numerator
28663	Numerator
22418	Numerator
36628	Numerator
26660	Numerator
33978	Numerator
19516	Numerator
24073	Numerator
20989	Numerator
2748	Numerator
21773	Numerator
27339	Numerator
22024	Numerator
23646	Numerator
6980	Numerator
20978	Numerator
20895	Numerator
29124	Numerator
24414	Numerator
1872	Numerator
22399	Numerator
29459	Numerator
1058	Numerator
15555	Numerator
25655	Numerator
15822	Numerator
13666	Numerator
13769	Numerator
22119	Numerator
24209	Numerator
23153	Numerator
17490	Numerator
33208	Numerator
16830	Numerator
20109	Numerator
15537	Numerator
572	Numerator
33953	Numerator
20114	Numerator
24060	Numerator
18760	Numerator
1500	Numerator
31251	Numerator
23465	Numerator
28295	Numerator
4470	Numerator
25208	Numerator
21989	Numerator
23781	Numerator
17032	Numerator
27992	Numerator
27165	Numerator
6982	Numerator
17480	Numerator
8645	Numerator
22095	Numerator
32840	Numerator
32767	Numerator
19278	Numerator
33913	Numerator
26488	Numerator
31531	Numerator
27338	Numerator
33153	Numerator
25400	Numerator
24341	Numerator
23893	Numerator
18773	Numerator
23845	Numerator
25810	Numerator
21977	Numerator
17632	Numerator
29560	Numerator
13064	Numerator
17638	Numerator
24295	Numerator
30449	Numerator
24809	Numerator
21890	Numerator
23260	Numerator
35364	Numerator
24094	Numerator
32451	Numerator
15535	Numerator
28673	Numerator
23639	Numerator
33542	Numerator
21797	Numerator
18653	Numerator
20550	Numerator
15818	Numerator
25800	Numerator
21670	Numerator
19668	Numerator
14053	Numerator
15746	Numerator
27584	Numerator
18757	Numerator
23603	Numerator
19627	Numerator
6132	Numerator
16311	Numerator
23501	Numerator
26438	Numerator
3284	Numerator
21059	Numerator
29360	Numerator
2406	Numerator
22402	Numerator
26624	Numerator
23435	Numerator
30794	Numerator
24644	Numerator
25700	Numerator
33924	Numerator
29809	Numerator
14530	Numerator
27726	Numerator
26208	Numerator
28646	Numerator
18208	Numerator
24320	Numerator
26376	Numerator
32600	Numerator
29911	Numerator
21995	Numerator
25706	Numerator
27699	Numerator
19744	Numerator
23791	Numerator
8075	Numerator
30928	Numerator
23926	Numerator
33453	Numerator
19742	Numerator
2297	Numerator
24132	Numerator
13859	Numerator
31157	Numerator
25287	Numerator
17833	Numerator
23119	Numerator
24586	Numerator
34224	Numerator
22816	Numerator
14067	Numerator
25668	Numerator
27188	Numerator
31192	Numerator
24587	Numerator
19474	Numerator
16361	Numerator
26548	Numerator
15220	Numerator
7850	Numerator
32229	Numerator
25778	Numerator
37348	Numerator
30494	Numerator
19267	Numerator
20189	Numerator
21607	Numerator
28710	Numerator
26092	Numerator
29091	Numerator
18801	Numerator
27793	Numerator
21758	Numerator
17381	Numerator
28160	Numerator
25407	Numerator
27300	Numerator
19255	Numerator
23363	Numerator
24670	Numerator
17898	Numerator
25309	Numerator
14971	Numerator
26690	Numerator
24657	Numerator
19028	Numerator
18219	Numerator
17118	Numerator
32815	Numerator
15032	Numerator
24688	Numerator
23444	Numerator
34535	Numerator
16222	Numerator
32975	Numerator
19770	Numerator
35596	Numerator
34831	Numerator
19879	Numerator
24343	Numerator
23106	Numerator
20845	Numerator
23864	Numerator
23315	Numerator
23149	Numerator
676	Numerator
13847	Numerator
24433	Numerator
13798	Numerator
32405	Numerator
23815	Numerator
18363	Numerator
29716	Numerator
32525	Numerator
27707	Numerator
36352	Numerator
25744	Numerator
34137	Numerator
29142	Numerator
18559	Numerator
26136	Numerator
21082	Numerator
28995	Numerator
22405	Numerator
32897	Numerator
22640	Numerator
24851	Numerator
31296	Numerator
36736	Numerator
22176	Numerator
36000	Numerator
28447	Numerator
35276	Numerator
28681	Numerator
24108	Numerator
20441	Numerator
37121	Numerator
23372	Numerator
16539	Numerator
32918	Numerator
18054	Numerator
33075	Numerator
23406	Numerator
21234	Numerator
1030	Numerator
13123	Numerator
24874	Numerator
28657	Numerator
24709	Numerator
21996	Numerator
32813	Numerator
31269	Numerator
23255	Numerator
21070	Numerator
24501	Numerator
31890	Numerator
1070	Numerator
29061	Numerator
21782	Numerator
24658	Numerator
36289	Numerator
19861	Numerator
19795	Numerator
17276	Numerator
22750	Numerator
17049	Numerator
29923	Numerator
23170	Numerator
33994	Numerator
21325	Numerator
20937	Numerator
22168	Numerator
33922	Numerator
29619	Numerator
33190	Numerator
24825	Numerator
21027	Numerator
24558	Numerator
27955	Numerator
19440	Numerator
19732	Numerator
30776	Numerator
18173	Numerator
22282	Numerator
25127	Numerator
20388	Numerator
21253	Numerator
29795	Numerator
28071	Numerator
28386	Numerator
22624	Numerator
12547	Numerator
12833	Numerator
22160	Numerator
24614	Numerator
19499	Numerator
18576	Numerator
29064	Numerator
19389	Numerator
35598	Numerator
21603	Numerator
10934	Numerator
19601	Numerator
23044	Numerator
22536	Numerator
34905	Numerator
21265	Numerator
28406	Numerator
24701	Numerator
25443	Numerator
22412	Numerator
32507	Numerator
31367	Numerator
20138	Numerator
21142	Numerator
23497	Numerator
21778	Numerator
30226	Numerator
23459	Numerator
19528	Numerator
26843	Numerator
18613	Numerator
18013	Numerator
31142	Numerator
20191	Numerator
33140	Numerator
20434	Numerator
24093	Numerator
26740	Numerator
23627	Numerator
22262	Numerator
23247	Numerator
29058	Numerator
26615	Numerator
30744	Numerator
25940	Numerator
22306	Numerator
33166	Numerator
22243	Numerator
15540	Numerator
22532	Numerator
34553	Numerator
24260	Numerator
35353	Numerator
33819	Numerator
22365	Numerator
24013	Numerator
19187	Numerator
33048	Numerator
33996	Numerator
23609	Numerator
36612	Numerator
16654	Numerator
33941	Numerator
22767	Numerator
20966	Numerator
25292	Numerator
28405	Numerator
28235	Numerator
32212	Numerator
22431	Numerator
23779	Numerator
24556	Numerator
23447	Numerator
16837	Numerator
21342	Numerator
37215	Numerator
32496	Numerator
24692	Numerator
32565	Numerator
4409	Numerator
25286	Numerator
998	Numerator
33995	Numerator
8751	Numerator
17629	Numerator
32592	Numerator
28058	Numerator
17011	Numerator
29612	Numerator
19969	Numerator
29177	Numerator
25396	Numerator
36578	Numerator
19834	Numerator
23687	Numerator
23813	Numerator
28568	Numerator
33179	Numerator
33390	Numerator
27283	Numerator
23442	Numerator
6424	Numerator
2380	Numerator
31022	Numerator
33139	Numerator
31423	Numerator
35855	Numerator
24699	Numerator
24453	Numerator
28939	Numerator
20970	Numerator
23637	Numerator
26646	Numerator
29007	Numerator
16988	Numerator
17384	Numerator
22304	Numerator
22797	Numerator
23550	Numerator
19399	Numerator
27808	Numerator
33057	Numerator
27973	Numerator
28449	Numerator
34250	Numerator
28388	Numerator
1637	Numerator
28261	Numerator
19336	Numerator
25519	Numerator
25536	Numerator
31201	Numerator
20683	Numerator
36319	Numerator
22603	Numerator
21880	Numerator
29602	Numerator
26829	Numerator
36540	Numerator
19087	Numerator
24364	Numerator
29178	Numerator
28716	Numerator
23782	Numerator
29682	Numerator
18961	Numerator
24528	Numerator
31172	Numerator
22580	Numerator
30231	Numerator
24169	Numerator
29558	Numerator
26672	Numerator
29335	Numerator
1505	Numerator
32936	Numerator
29874	Numerator
32590	Numerator
32461	Numerator
36970	Numerator
37162	Numerator
29547	Numerator
37123	Numerator
24225	Numerator
32959	Numerator
30752	Numerator
31288	Numerator
28972	Numerator
22346	Numerator
22903	Numerator
30695	Numerator
37131	Numerator
29584	Numerator
28251	Numerator
2952	Numerator
28773	Numerator
31497	Numerator
35887	Numerator
28764	Numerator
30998	Numerator
28574	Numerator
30740	Numerator
26789	Numerator
36810	Numerator
30135	Numerator
21424	Numerator
27204	Numerator
31014	Numerator
30410	Numerator
37139	Numerator
36883	Numerator
